title,normalized_title,status
Bangalore Darpan,BANGALORE DARPAN,Approved
Bangalore Globe,BANGALORE GLOBE,Approved
Bangalore Globe Gaurav,BANGALORE GLOBE GAURAV,Approved
Bangalore Jagran,BANGALORE JAGRAN,Approved
Bangalore Mirror Jyoti,BANGALORE MIRROR JYOTI,Approved
Bangalore Patrika,BANGALORE PATRIKA,Approved
Bangalore Sandhya,BANGALORE SANDHYA,Approved
Bangalore Standard,BANGALORE STANDARD,Approved
Beacon Bhaskar,BEACON BHASKAR,Approved
Beacon Duniya,BEACON DUNIYA,Approved
Bharat Chronicle,BHARAT CHRONICLE,Approved
Bharat Express Samachar,BHARAT EXPRESS SAMACHAR,Approved
Bharat Globe,BHARAT GLOBE,Approved
Bharat Guardian Uday,BHARAT GUARDIAN UDAY,Approved
Bharat Mail,BHARAT MAIL,Approved
Bharat Prabhat,BHARAT PRABHAT,Approved
Bharat Samachar,BHARAT SAMACHAR,Approved
Bharat Vision,BHARAT VISION,Approved
Bharat Voice Samachar,BHARAT VOICE SAMACHAR,Approved
Chennai Globe,CHENNAI GLOBE,Approved
Chennai Observer Vaani,CHENNAI OBSERVER VAANI,Approved
Chennai Post,CHENNAI POST,Approved
Chennai Post Jyoti,CHENNAI POST JYOTI,Approved
Chennai Shakti,CHENNAI SHAKTI,Approved
Chennai Tribune,CHENNAI TRIBUNE,Approved
Chennai Vaani,CHENNAI VAANI,Approved
Chronicle Jagran,CHRONICLE JAGRAN,Approved
Daily Deep,DAILY DEEP,Approved
Daily Evening,DAILY EVENING,Approved
Daily Jyoti,DAILY JYOTI,Approved
Daily Observer,DAILY OBSERVER,Approved
Daily Prabhat,DAILY PRABHAT,Approved
Daily Quest Gaurav,DAILY QUEST GAURAV,Approved
Daily Tribune,DAILY TRIBUNE,Approved
Daily Vision,DAILY VISION,Approved
Dainik Beacon,DAINIK BEACON,Approved
Dainik Express Uday,DAINIK EXPRESS UDAY,Approved
Dainik Jagran,DAINIK JAGRAN,Approved
Dainik Mail Kesari,DAINIK MAIL KESARI,Approved
Dainik Mirror Shakti,DAINIK MIRROR SHAKTI,Approved
Dainik News,DAINIK NEWS,Approved
Dainik Standard News,DAINIK STANDARD NEWS,Approved
Dainik Voice,DAINIK VOICE,Approved
